company_name,job_title,posting_duration,skills,more_details,scraped_at
Medico Placements,Professors,few days ago,general medicine|gynecology|anesthesia|pediatrics|ent|doctor|md|dnb|gynaecology|physician|pediatrician,https://www.timesjobs.com/job-detail/professors-medico-placements-0-to-2-yrs-jobid-ciNvF7dtqCRzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
Medico Placements,Professors,few days ago,pathology|ophthalmologist|surgeon|gynaecology|medicine|ent|psychiatry|anesthesia|pediatrician|doctor|pediatrics|ophthalmology|physician|pathologist,https://www.timesjobs.com/job-detail/professors-medico-placements-hyderabad-secunderabad-2-to-3-yrs-jobid-FCB9HciAx__PLUS__BzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
Medico Placements,Professors,few days ago,biochemistry|psychiatry|medical college|md / dnb|0 3 yr|doctor,https://www.timesjobs.com/job-detail/professors-medico-placements-salem-0-to-3-yrs-jobid-FtW91VXeSpVzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
Migronis Visa Immigration,professor,a month ago,Developing curricula|course material|Conducting research|fieldwork|investigations|academic counseling,https://www.timesjobs.com/job-detail/professor-migronis-visa-immigration-australia-france-hong-kong-new-zealand-null-1-to-6-yrs-jobid-Dtw2WikjqktzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
Aerro outsourcing pvt ltd,"Assistant Professor , Associate Professor",few days ago,assistant professor|teaching|lecturer,https://www.timesjobs.com/job-detail/assistant-professor-associate-professor-aerro-outsourcing-pvt-ltd-australia-canada-hong-kong-1-to-6-yrs-jobid-QJQAgL__PLUS__wYTpzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
welingkar institute,Professor  / Associate Professor  /  Assistant Professor  Media and Entertainment,few days ago,teaching|assistant professor|associate professor,https://www.timesjobs.com/job-detail/professor-associate-professor-assistant-professor-media-and-entertainment-welingkar-institute-mumbai-0-to-3-yrs-jobid-R7zthYfVILBzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
welingkar institute,Professor  / Associate Professor  /  Assistant Professor  Healthcare Management,few days ago,teaching|associate professor|economics|assistant professor,https://www.timesjobs.com/job-detail/professor-associate-professor-assistant-professor-healthcare-management-welingkar-institute-mumbai-5-to-8-yrs-jobid-8oSXPDSpW9FzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
welingkar institute,Professor  / Associate Professor  /  Assistant Professor  E-Business,1 day ago,algorithms|artificial intelligence|sem|hadoop|big data|crm|python|mobile|machine learning|artificial neural networks|shopify,https://www.timesjobs.com/job-detail/professor-associate-professor-assistant-professor-e-business-welingkar-institute-mumbai-0-to-3-yrs-jobid-zS1F2oXfzjVzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
Navyah Immigration Services Private Limited,Professors and Lecturers,few days ago,professors|lecturers|instructor|university professor|Lecturer|professor|Education|Teaching,https://www.timesjobs.com/job-detail/professors-and-lecturers-navyah-immigration-services-private-limited-australia-canada-germany-null-null-2-to-7-yrs-jobid-QtO4BY22xoFzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
MIEU HEALTHCARE HR SERVICES PRIVATE LIMITED,Assistant Professor,few days ago,Assistant Professor|Assistant Teacher|Assistant Lecture|Assistant Professors|Assistant teaching,https://www.timesjobs.com/job-detail/assistant-professor-mieu-healthcare-hr-services-private-limited-other-city-s-in-assam-6-to-7-yrs-jobid-B3rO6I__SLASH__x0__SLASH__dzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:30:35
